,Unnamed: 0,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit,code,best_film,poster
58,58,Norway,25,636202406.7357570,25448096.269430300,1628579234,65143169.36,1628579234,65143169.36,-128883267.73575700,-5155330.709430290,992376827.2642430,39695073.09056970,NOR,Dancer in the Dark,https://i.jeded.com/i/dancer-in-the-dark.11408.jpg
59,59,Palestine,2,4100000.0,2050000.0,4194346,2097173.0,4194346,2097173.0,-2286157.0,-1143078.5,94346.0,47173.0,PSE,Paradise Now,http://www.popentertainment.com/ParadiseNow.jpg
60,60,Panama,2,37000000.0,18500000.0,11738884,5869442.0,11738884,5869442.0,-32091416.0,-16045708.0,-25261116.0,-12630558.0,PAN,Hands of Stone,https://fr.web.img6.acsta.net/pictures/14/02/19/15/00/167167.jpg
61,61,Philippines,1,50000000.0,50000000.0,69865924,69865924.0,69865924,69865924.0,8360760.0,8360760.0,19865924.0,19865924.0,PHL,Curioso come George,http://image.tmdb.org/t/p/original/p04KQi64uQwdSx3uB0PcztZQ6ep.jpg
62,62,Poland,14,382465324.7186680,27318951.76561910,733495972,52392569.42857140,733495972,52392569.42857140,-173684555.7186680,-12406039.694190600,351030647.2813320,25073617.6629523,POL,Il pianista,https://www.paginainizio.com/frasi/film-locandine-big/ilpianista.jpg
63,63,Portugal,5,101810280.0,20362056.0,56304946,11260989.2,56304946,11260989.2,-77876226.0,-15575245.2,-45505334.0,-9101066.8,PRT,L'uomo che uccise Don Chisciotte,https://myredcarpet.eu/wp-content/uploads/2018/09/LUOMOCHEUCCISEDONCHISCOTTE_poster-ita-def-1080x1543.jpg
64,64,Puerto Rico,1,30000000.0,30000000.0,9330075,9330075.0,9330075,9330075.0,-25953571.0,-25953571.0,-20669925.0,-20669925.0,PRI,Replicas,https://www.badtaste.it/wp-content/uploads/2018/10/replicas_ver3.jpg
65,65,Qatar,4,23143130.0,5785782.5,131137972,32784493.0,131137972,32784493.0,9909966.0,2477491.5,107994842.0,26998710.5,QAT,E ora dove andiamo?,https://image.tmdb.org/t/p/w500/gaSNIOr6Jjk2v1AWFnVwBUTA7Vp.jpg
66,66,Romania,20,514927479.0,25746373.95,898504085,44925204.25,898504085,44925204.25,-99908387.0,-4995419.35,383576606.0,19178830.3,ROU,Ritorno a Cold Mountain,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/19oA1tovqh1DcoW3stojF6QwKwX.jpg
67,67,Russia,20,410612617.302973,20530630.86514870,844423948,42221197.4,844423948,42221197.4,-181336587.30297300,-9066829.365148650,433811330.697027,21690566.53485140,RUS,Captivity,https://image.tmdb.org/t/p/original/4IuMrbpAlSt0lbiSWBhQ3ByMSj0.jpg
68,68,Saudi Arabia,2,35000000.0,17500000.0,5762446,2881223.0,5762446,2881223.0,-34957867.0,-17478933.5,-29237554.0,-14618777.0,SAU,Un alibi perfetto,https://www.ilcineocchio.it/cine/wp-content/uploads/2020/07/Alibiperfetto.jpg
69,69,Serbia,3,67500000.0,22500000.0,174501672,58167224.0,174501672,58167224.0,18220464.0,6073488.0,107001672.0,35667224.0,SRB,The Raven,https://originalvintagemovieposters.com/wp-content/uploads/2021/02/RAVEN-6819-scaled.jpg
70,70,Singapore,5,309619635.02262400,61923927.00452490,406582508,81316501.6,406582508,81316501.6,-234881005.02262400,-46976201.00452490,96962872.97737560,19392574.595475100,SGP,The Eye,http://www.scifimoviepage.com/upcoming/photos/eye-poster1.jpg
71,71,Slovakia,1,35000000.0,35000000.0,25303038,25303038.0,25303038,25303038.0,-29066506.0,-29066506.0,-9696962.0,-9696962.0,SVK,L'ultima legione,http://pad.mymovies.it/filmclub/2007/01/087/locandina.jpg
72,72,Slovenia,2,227220200.0,113610100.0,424524437,212262218.5,424524437,212262218.5,-84586557.0,-42293278.5,197304237.0,98652118.5,SVN,No Man's Land,http://2.bp.blogspot.com/-J56DDWff6cM/T2w14sdqWfI/AAAAAAAAASk/kb2Y3KPKf1Q/s1600/No-Mans-Land-Poster.jpg
73,73,South Africa,22,1018041268.7679900,46274603.12581780,3585726825,162987582.95454500,3585726825,162987582.95454500,298561236.2320090,13570965.283273100,2567685556.232010,116712979.82872800,ZAF,Hotel Rwanda,http://media-cache-ec0.pinimg.com/736x/74/a8/64/74a864f6ce79f65697db153338b89227.jpg
74,74,South Korea,29,675320787.2791080,23286923.69927960,2171242886,74870444.34482760,2171242886,74870444.34482760,-86859147.27910750,-2995143.009624400,1495922098.7208900,51583520.645548000,KOR,Le avventure di Rocky e Bullwinkle,https://movieplayer.net-cdn.it/t/images/2008/05/05/la-locandina-di-le-avventure-di-rocky-e-bullwinkle-59679_jpg_420x0_crop_q85.jpg
75,75,Spain,102,3513144811.525430,34442596.191425800,7898715432,77438386.58823530,7898715432,77438386.58823530,-1023387104.5254300,-10033206.907112100,4385570620.474570,42995790.39680950,ESP,The Others,https://gfx.videobuster.de/archive/v/czhaX2Q0xNIeY1YausKmcXQcz0lMkawqyUyRjA0JTJGaW1hmSUyRmpwZWclMkYzYjhj4jZlNGRjMWL1YWUzYjhlqLzVMMA3ZC5qcGcmcj137zg/the-others-poster.jpg
76,76,Sweden,46,598977515.5836630,13021250.338775300,1347252581,29288099.586956500,1347252581,29288099.586956500,-197822641.58366300,-4300492.208340490,748275065.4163370,16266849.248181200,SWE,Dancer in the Dark,https://i.jeded.com/i/dancer-in-the-dark.11408.jpg
77,77,Switzerland,26,677256230.0,26048316.53846150,1007103110,38734735.0,1007103110,38734735.0,-213453796.0,-8209761.384615390,329846880.0,12686418.461538500,CHE,Supernova,https://flxt.tmsimg.com/assets/p23152_p_v10_ap.jpg
78,78,Taiwan,12,673095553.2008580,56091296.10007150,2414575595,201214632.91666700,2414575595,201214632.91666700,36467289.79914210,3038940.8165951800,1741480041.799140,145123336.81659500,TWN,Dancer in the Dark,https://i.jeded.com/i/dancer-in-the-dark.11408.jpg
79,79,Thailand,12,639437522.6897130,53286460.22414280,1486274390,123856199.16666700,1486274390,123856199.16666700,-158090546.68971300,-13174212.22414280,846836867.3102870,70569738.94252390,THA,Alexander,https://cdn.shopify.com/s/files/1/1416/8662/products/Alexander_2004_advance_original_film_art_2000x.jpg
80,80,Tunisia,2,44657870.0,22328935.0,28429954,14214977.0,28429954,14214977.0,-38466270.0,-19233135.0,-16227916.0,-8113958.0,TUN,L'ultima legione,http://pad.mymovies.it/filmclub/2007/01/087/locandina.jpg
81,81,Turkey,6,321443148.0,53573858.0,1544164539,257360756.5,1544164539,257360756.5,134169226.0,22361537.666666700,1222721391.0,203786898.5,TUR,Whiteout - Incubo bianco,https://www.ilcineocchio.it/cine/wp-content/uploads/2020/06/Whiteout-Incubobianco.jpg
82,82,UK,731,33663020301.305300,46050643.36703880,96723151064,132316212.125855,96723151064,132316212.125855,245102046.694664,335296.9175029600,63060130762.69470,86265568.75881620,UK,Galline in fuga,http://image.tmdb.org/t/p/original/u19pRkgBvVk8Kxd11mtqEx8cWWU.jpg
83,83,USA,3150,145705120515.77500,46255593.81453190,437428911220,138866321.02222200,437428911220,138866321.02222200,42559189037.22460,13510853.662611000,291723790704.22500,92610727.20769030,USA,Kate & Leopold,https://celebmafia.com/wp-content/uploads/2016/11/kate-beckinsale-underworld-blood-wars-press-conference-in-beverly-hills-11-11-2016-7.jpg
84,84,Ukraine,1,30000000.0,30000000.0,108979549,108979549.0,108979549,108979549.0,1715062.0,1715062.0,78979549.0,78979549.0,UKR,Transporter 3,http://www.geourdufilm.com/wp-content/uploads/2018/07/Transporter-3-2008.jpg
85,85,United Arab Emirates,28,1625700000.0,58060714.28571430,4843282289,172974367.4642860,4843282289,172974367.4642860,55755544.0,1991269.4285714300,3217582289.0,114913653.17857100,ARE,The Time Machine,https://image.tmdb.org/t/p/original/fyJw1kPiY3l44P4cOwpGm40BDS2.jpg
86,86,Venezuela,1,1400000.0,1400000.0,3217176,3217176.0,3217176,3217176.0,-70751.0,-70751.0,1817176.0,1817176.0,VEN,El abrazo de la serpiente,http://www.trigon-film.org/en/shop/Posters_One_Sheet/El_abrazo_de_la_serpiente/cover_full.jpg
87,87,Vietnam,1,30000000.0,30000000.0,27674124,27674124.0,27674124,27674124.0,-17011199.0,-17011199.0,-2325876.0,-2325876.0,VNM,The Quiet American,https://images-na.ssl-images-amazon.com/images/I/91jMU1zXUUL._RI_.jpg
