,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
5343,Corinne Masiero,1,17095540.0,17095540.0,25807712,25807712.0,25807712,25807712.0,-15033513.0,-15033513.0,8712172.0,8712172.0
5344,Corinne Reilly,1,5000000.0,5000000.0,1229330,1229330.0,1229330,1229330.0,-4976376.0,-4976376.0,-3770670.0,-3770670.0
5345,Cornelia Guest,2,47000000.0,23500000.0,22176120,11088060.0,22176120,11088060.0,-27511956.0,-13755978.0,-24823880.0,-12411940.0
5346,Cornelius Booth,1,100000000.0,100000000.0,86493046,86493046.0,86493046,86493046.0,-69175372.0,-69175372.0,-13506954.0,-13506954.0
5347,Cornelius Geaney Jr.,1,9000000.0,9000000.0,155712077,155712077.0,155712077,155712077.0,48005601.0,48005601.0,146712077.0,146712077.0
5348,Cornell John,2,425000000.0,212500000.0,1074521469,537260734.5,1074521469,537260734.5,-123822609.0,-61911304.5,649521469.0,324760734.5
5349,Cornell Womack,1,48000000.0,48000000.0,163403799,163403799.0,163403799,163403799.0,16506874.0,16506874.0,115403799.0,115403799.0
5350,Corrado Fortuna,1,18871700.0,18871700.0,73244881,73244881.0,73244881,73244881.0,-2185833.0,-2185833.0,54373181.0,54373181.0
5351,Corrado Invernizzi,1,97600000.0,97600000.0,225508210,225508210.0,225508210,225508210.0,20024357.0,20024357.0,127908210.0,127908210.0
5352,Corrina Lyons,1,3000000.0,3000000.0,774780,774780.0,774780,774780.0,-2326849.0,-2326849.0,-2225220.0,-2225220.0
5353,Cortney Shounia,1,35000000.0,35000000.0,94728529,94728529.0,94728529,94728529.0,25400856.0,25400856.0,59728529.0,59728529.0
5354,Cory Bowles,1,3994314.910765688,3994314.910765688,3876456,3876456.0,3876456,3876456.0,-133636.91076568794,-133636.91076568794,-117858.91076568794,-117858.91076568794
5355,Cory Chapman,1,11000000.0,11000000.0,53939297,53939297.0,53939297,53939297.0,19014539.0,19014539.0,42939297.0,42939297.0
5356,Cory Edwards,1,30000000.0,30000000.0,139998200,139998200.0,139998200,139998200.0,31530390.0,31530390.0,109998200.0,109998200.0
5357,Cory Fernandez,1,30000000.0,30000000.0,55611001,55611001.0,55611001,55611001.0,14875481.0,14875481.0,25611001.0,25611001.0
5358,Cory Hardrict,4,245000000.0,61250000.0,487507972,121876993.0,487507972,121876993.0,-27122298.0,-6780574.5,242507972.0,60626993.0
5359,Cory Hodges,1,12500000.0,12500000.0,23367586,23367586.0,23367586,23367586.0,8578145.0,8578145.0,10867586.0,10867586.0
5360,Cory Michael Smith,3,71800000.0,23933333.333333332,146049174,48683058.0,146049174,48683058.0,-14138662.0,-4712887.333333333,74249174.0,24749724.666666668
5361,Cory Monteith,1,20000000.0,20000000.0,39782683,39782683.0,39782683,39782683.0,3186769.0,3186769.0,19782683.0,19782683.0
5362,Cory Oliver,1,2000000.0,2000000.0,64676349,64676349.0,64676349,64676349.0,58755732.0,58755732.0,62676349.0,62676349.0
5363,Cory Peterson,1,180000000.0,180000000.0,814038508,814038508.0,814038508,814038508.0,54037575.0,54037575.0,634038508.0,634038508.0
5364,Cory Roberts,1,6000000.0,6000000.0,201890,201890.0,201890,201890.0,-5819149.0,-5819149.0,-5798110.0,-5798110.0
5365,Cory Robinson,1,8000000.0,8000000.0,18707966,18707966.0,18707966,18707966.0,7032800.0,7032800.0,10707966.0,10707966.0
5366,Cory Stewart,1,13000000.0,13000000.0,131706809,131706809.0,131706809,131706809.0,78057006.0,78057006.0,118706809.0,118706809.0
5367,Cosimo Fusco,1,150000000.0,150000000.0,485930816,485930816.0,485930816,485930816.0,-16624154.0,-16624154.0,335930816.0,335930816.0
5368,Cosme Castro,1,5000000.0,5000000.0,41898409,41898409.0,41898409,41898409.0,16321100.0,16321100.0,36898409.0,36898409.0
5369,Cosmo DeMatteo,1,40000000.0,40000000.0,58480828,58480828.0,58480828,58480828.0,17806952.0,17806952.0,18480828.0,18480828.0
5370,Cosmo Jarvis,1,656126.2485962528,656126.2485962528,5401447,5401447.0,5401447,5401447.0,473281.75140374724,473281.75140374724,4745320.751403747,4745320.751403747
5371,Costas Mandylor,6,96800000.0,16133333.333333334,651894846,108649141.0,651894846,108649141.0,196622147.0,32770357.833333332,555094846.0,92515807.66666667
